Mineral,Reference,Analysis Type,Location,Site,Section,Img. Ref. No.,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,CoO_pct,ZnO_pct,Total_pct,Sumox,Cr_apfu,Ti_apfu,V_apfu,Al_apfu,Fe2_apfu,Fe3_apfu,Mn_apfu,Mg_apfu,Co_apfu,Zn_apfu,Ni_apfu,Tot_cat,Mgno,Fe3no
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,2A,silicate,,2.43,2.69,0.03,,,12.01,0.00095,8.17,0.37,71.46920042,0.00125,0.00112,,,1.310340518,0.328186395,0.459052474,3.19E-05,0.161076938,1.259006229,0.592577476,0.015922251,0.184049204,4.56E-05,,5.11E-05,2.999999571,0.127541327,0.547749236
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,1A,silicate,,3.99,2.81,0.92,,,10.97,0.00095,13.92,0.43,64.50928173,0.00125,0.00112,,,1.374122089,0.533207932,0.399838677,3.04E-05,0.160452414,1.093944952,0.506612683,0.01764534,0.288177066,4.35E-05,,4.87E-05,3.000001699,0.208503347,0.422081202
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-210.5,1C,,,3.41,3.45,0.04,,,11.73,0.00095,6.8,0.34,71.10917779,0.00125,0.00112,0.14,,1.306747651,0.273904944,0.449582895,3.20E-05,0.207153666,1.170585447,0.619721409,0.014671486,0.258984929,4.58E-05,0.005266038,5.12E-05,2.99999977,0.18116277,0.562983883
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,3E,olivine,,4.02,8.49,0.02,,,0.39,0.00107,34.44,0.31,46.70948297,0.0012,0.0012,0.23,,1.509018623,1.201299316,0.012944149,3.12E-05,0.441446774,0.729416021,0.331324012,0.011583879,0.264388947,4.25E-05,0.007491709,4.26E-05,3.00001103,0.266037055,0.167838017
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.62,10.35,0.03,,,1.94,0.00107,37.1,0.29,42.60957603,0.0012,0.0012,0.16,,1.676441596,1.164845076,0.057958455,2.81E-05,0.484414549,0.710750447,0.234787358,0.009754308,0.332705307,3.82E-05,0.004691149,3.83E-05,3.000011268,0.318849463,0.124618632
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.61,10.27,0.04,,,1.93,0.00107,37.22,0.29,42.49957771,0.0012,0.0012,0.16,,1.675084002,1.169559886,0.057706431,2.81E-05,0.481059848,0.710809506,0.233931255,0.009762214,0.332382471,3.82E-05,0.004694951,3.84E-05,3.000011264,0.318620616,0.12413103
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.63,10.4,0.03,,,1.97,0.00107,36.91,0.33,42.97956987,0.0012,0.0012,0.14,,1.678176543,1.157681479,0.058793874,2.80E-05,0.486251495,0.710595186,0.238443212,0.011088255,0.332952737,3.82E-05,0.004100511,3.83E-05,3.00001126,0.319058406,0.126671392
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,5.68,10.5,0.05,,,2.04,0.00107,35.75,0.32,43.1195618,0.0012,0.0012,0.19,,1.659969051,1.133597141,0.061550796,2.84E-05,0.496311759,0.705402642,0.24695272,0.010870184,0.339594139,3.86E-05,0.00562602,3.87E-05,3.000011056,0.324971469,0.131577479
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,Grain,olivine,,4.95,16.92,19.35,,,1.32,0.00107,20.31,0.51,31.86969679,0.0012,0.0012,0.13,,1.403079487,0.761921686,0.047118901,3.35E-05,0.946200864,0.671865685,0.197592189,0.020496269,0.350134387,4.57E-05,0.004554165,4.58E-05,3.000009146,0.342597223,0.103684033
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-229.9,6I,olivine,,3.83,5.55,0.2,,,1.76,0.270461558,37.92,0.35,46.48952038,0.105975963,0.032346006,0.16,,1.543723527,1.29294929,0.057101385,0.007706299,0.282090666,0.793495478,0.294404757,0.012784549,0.246230072,0.001118517,0.005094459,0.003676389,2.996651862,0.236822181,0.157482462
